ID,Movie Name,Year,Timing(min),Rating(10),Votes,Genre,Language
tt1594964,Chase,I 2010,103 min,4.9,87,"Action, Crime, Drama            ",hindi
tt10198432,Chase No Mercy to Crime,2019,112 min,-,-,Action            ,hindi
tt2229848,Chashme Baddoor,2013,121 min,5.4,"4,950","Comedy, Drama            ",hindi
tt1592735,Chath: A Roof Without Walls,2007,93 min,-,-,"Drama, Thriller            ",hindi
tt1363363,Chatur Singh Two Star,2011,150 min,1.7,585,"Action, Adventure, Comedy            ",hindi
tt11491874,Chaturnath,2019,110 min,-,-,Comedy            ,hindi
tt6359454,Chauhar,2017,123 min,6.8,15,Drama            ,hindi
tt3777164,Chauranga,2014,88 min,6.6,299,Drama            ,hindi
tt3353822,Chausar,2018,85 min,6.4,82,Drama            ,hindi
tt4276428,Cheekh,2004,85 min,-,-,Horror            ,hindi
tt0976026,Cheeni Kum,2007,140 min,6.8,"4,953","Comedy, Drama, Romance            ",hindi
tt5745450,Chef,2017,133 min,5.7,"2,203","Comedy, Drama, Family            ",hindi
tt4992106,Chehere: A Modern Day Classic,2015,106 min,6,20,Thriller            ,hindi
tt0449870,Chehraa,2005,136 min,3.8,137,Thriller            ,hindi
tt2112124,Chennai Express,2013,141 min,6,"49,430","Action, Adventure, Comedy            ",hindi
tt0487149,Chetna: The Excitement,2005,102 min,3.1,43,Thriller            ,hindi
tt11624506,Chhakda,2020,131 min,-,-,"Comedy, Drama            ",hindi
tt8983164,Chhalaang,2020,136 min,6.4,"15,444","Comedy, Drama            ",hindi
tt9614460,Chhapaak,2020,120 min,5.1,"24,883","Biography, Drama            ",hindi
tt11134856,Chhappad Phaad Ke,2019,90 min,6.2,918,Drama            ,hindi
tt9537122,Chhappan Bhai,2018,98 min,-,-,Comedy            ,hindi
tt11554512,Chhat Pe,2007,128 min,-,-,Romance            ,hindi
tt13944838,Chhaya,2016,90 min,-,-,Drama            ,hindi
tt7640194,Chhe: Six,2018,102 min,-,-,"Horror, Thriller            ",hindi
tt9052870,Chhichhore,2019,143 min,8.2,"35,428","Comedy, Drama            ",hindi
tt1108831,Chhodon Naa Yaar,2007,97 min,4.7,92,"Horror, Thriller            ",hindi
tt9685878,Chholyar,2018,92 min,-,-,Drama            ,hindi
tt2798620,Chhota Bheem and the Curse of Damyaan,2012,88 min,5.7,138,"Animation, Adventure, Fantasy            ",hindi
tt3324810,Chhota Bheem and the Throne of Bali,2013,130 min,6.1,135,Animation            ,hindi
